"query","search interest","increase percent"
"kreatin mops",2,"Breakout"
"kreatim",1,"Breakout"
"kreatinmonohydrat",1,"4.300 %"
"taurin wirkung",9,"250 %"
"vaya",51,"250 %"
"vaya kreatin",50,"250 %"
"kreatin im muskel",3,"250 %"
"kreatin und taurin wirkung",5,"190 %"
"kreatin wechseljahre",7,"160 %"
"kreatin und taurin",29,"100 %"
"kreatin für frauen",24,"100 %"
"taurin",55,"90 %"
"was bewirkt kreatin",10,"70 %"
"kreatin pulver dm",5,"60 %"
"kreatin frauen",48,"60 %"
"kreatininwert",8,"50 %"
"kreatin wirkung frauen",7,"50 %"
"kreatin monohydrat dm",7,"50 %"
"kreatin wie einnehmen",10,"40 %"
"wo ist kreatin enthalten",3,"40 %"
"kreatin dm",69,"40 %"
"kreatin testsieger",9,"40 %"
"für was ist kreatin gut",7,"40 %"
"kollagen pulver",5,"30 %"
"dm",65,"30 %"
"dm kreatin",65,"30 %"
"wirkung kreatin",100,"30 %"
"kreatin wirkung",99,"30 %"
"wieviel kreatin pro kg",2,"30 %"
"more kreatin",11,"30 %"
"wie viel gramm kreatin pro tag",4,"30 %"
"kollagen",16,"30 %"
"kreatin in lebensmitteln",5,"20 %"
"kreatin was ist das",12,"20 %"
"creatin dm",7,"20 %"
"kreatin haarausfall",6,"20 %"
"esn protein",6,"20 %"
"kreatin zum abnehmen",5,"20 %"
"keratin",31,"10 %"
"bcaa",3,"10 %"
"kreatin monohydrat",82,"8 %"
"ashwagandha",4,"6 %"
"kreatin gewichtszunahme",5,"6 %"
"creatin",85,"6 %"
"sunday natural",11,"5 %"
"my protein kreatin",6,"4 %"
"kreatinin",21,"3 %"
"kreatin rossmann",19,"3 %"
"wie viel kreatin pro kg",6,"1 %"
"creapure creatin",8,"1 %"
