"query","search interest","increase percent"
"porridge mit proteinpulver",2,"Breakout"
"getvuel proteinpulver",2,"Breakout"
"proteinpulver von weider",2,"Breakout"
"coach aaron proteinpulver",1,"Breakout"
"geschmacksneutrales proteinpulver",1,"Breakout"
"proteinreiche lebensmittel",1,"Breakout"
"kann proteinpulver ablaufen",1,"Breakout"
"rocka nutrition",1,"Breakout"
"naduria protein",1,"Breakout"
"hsn protein",1,"Breakout"
"reeses proteinpulver",0,"Breakout"
"bodybuilding depot",0,"Breakout"
"power system protein 90",0,"2.700 %"
"markus rühl",4,"300 %"
"scoop proteinpulver",6,"200 %"
"was ist das beste proteinpulver",2,"150 %"
"proteinpulver geschmacksneutral",2,"120 %"
"proteinpulver ohne geschmack",3,"120 %"
"kaufland proteinpulver",4,"100 %"
"proteinpulver günstig",6,"80 %"
"laktosefreies proteinpulver",2,"80 %"
"weider protein",3,"70 %"
"welches proteinpulver ist das beste",5,"60 %"
"mammut proteinpulver",5,"60 %"
"was ist whey protein",2,"60 %"
"rühl proteinpulver",5,"50 %"
"whey protein pulver",4,"50 %"
"schoko proteinpulver",11,"50 %"
"bulk proteinpulver",7,"50 %"
"protein shake",8,"50 %"
"proteinpulver abgelaufen",2,"40 %"
"proteinpulver schoko",11,"40 %"
"protein pancakes",3,"40 %"
"chunky flavour",2,"40 %"
"more protein",13,"40 %"
"bulk",7,"40 %"
"ironmaxx",5,"40 %"
"bodylab",5,"30 %"
"proteinpulver ohne sucralose",1,"30 %"
"bodylab proteinpulver",3,"30 %"
"bulk protein",3,"30 %"
"proteinpulver laktosefrei",3,"30 %"
"vetain protein",4,"30 %"
"sucralose",3,"30 %"
"günstiges proteinpulver",4,"30 %"
"sunday natural",5,"20 %"
"kreatin",6,"20 %"
"proteinpulver aldi",10,"20 %"
"prozis",3,"20 %"
"neutrales proteinpulver",4,"20 %"
