"query","search interest","increase percent"
"wirkung kreatin",100,"30 %"
"kreatin wirkung",99,"30 %"
"creatin",85,"6 %"
"esn kreatin",82,"-7 %"
"kreatin monohydrat",82,"8 %"
"esn",80,"-9 %"
"kreatin esn",79,"-10 %"
"kreatin dm",69,"40 %"
"dm",65,"30 %"
"dm kreatin",65,"30 %"
"taurin",55,"90 %"
"was ist kreatin",53,"-6 %"
"vaya",51,"250 %"
"vaya kreatin",50,"250 %"
"kreatin pulver",49,"-5 %"
"kreatin frauen",48,"60 %"
"kreatin einnehmen",41,"-10 %"
"protein",37,"-30 %"
"kreatin kapseln",32,"-4 %"
"creapure kreatin",32,"-10 %"
"keratin",31,"10 %"
"creapure",31,"-10 %"
"kreatin creapure",31,"-10 %"
"nebenwirkungen kreatin",31,"-5 %"
"kreatin nebenwirkungen",30,"-6 %"
"kreatin kaufen",30,"-5 %"
"kreatin und taurin",29,"100 %"
"kreatin für frauen",24,"100 %"
"kreatinin",21,"3 %"
"rossmann kreatin",21,"0 %"
"kreatin rossmann",19,"3 %"
"wofür kreatin",19,"-9 %"
"creatine",19,"-30 %"
"kreatin wofür",18,"-10 %"
"kreatin test",18,"-30 %"
"kollagen",16,"30 %"
"kreatin wann einnehmen",16,"-10 %"
"wie viel kreatin pro tag",15,"-20 %"
"kreatin wert",15,"-40 %"
"wann kreatin einnehmen",15,"-6 %"
"magnesium",14,"-7 %"
"creatin monohydrat",14,"1 %"
"kreatin was ist das",12,"20 %"
"kreatin abnehmen",12,"-5 %"
"more kreatin",11,"30 %"
"was macht kreatin",11,"-30 %"
"sunday natural",11,"5 %"
"sunday natural kreatin",10,"-5 %"
"was bewirkt kreatin",10,"70 %"
"kreatin muskelaufbau",10,"-50 %"
