"query","search interest","increase percent"
"magnesium komplex",100,"50 %"
"verla magnesium",70,"9 %"
"magnesium verla",70,"9 %"
"welches magnesium",56,"5 %"
"magnesium 400",53,"6 %"
"magnesium glycinate",49,"10 %"
"vitamin d",43,"-20 %"
"bisglycinat magnesium",41,"20 %"
"magnesium dm",41,"3 %"
"dm magnesium",41,"3 %"
"magnesium bisglycinat",40,"20 %"
"magnesium supplement",39,"-8 %"
"magnesium tabletten",38,"7 %"
"magnesium apotheke",37,"7 %"
"magnesium citrat",33,"20 %"
"magnesium kapseln",31,"7 %"
"magnesium glycinat",29,"10 %"
"sunday",28,"20 %"
"beste magnesium",28,"7 %"
"omega 3",27,"-2 %"
"zu viel magnesium",26,"20 %"
"magnesium complex",25,"7 %"
"magnesium wirkung",23,"-4 %"
"magnesium lebensmittel",22,"0 %"
"magnesium citrate",22,"-4 %"
"diasporal magnesium",22,"10 %"
"magnesium diasporal",22,"9 %"
"melaviva magnesium",21,"2.050 %"
"sunday natural magnesium",21,"20 %"
"melaviva",21,"1.650 %"
"magnesium melaviva",21,"1.800 %"
"sunday natural",20,"20 %"
"magnesium sunday natural",20,"20 %"
"magnesium test",20,"-20 %"
"magnesium einnahme",20,"-6 %"
"magnesium bisglycinate",19,"-20 %"
"magnesium pulver",19,"10 %"
"magnesium kinder",19,"-6 %"
"melaviva magnesium komplex",17,"2.350 %"
"vitamoment magnesium",17,"20 %"
"magnesium wann einnehmen",17,"-3 %"
"magnesium schwangerschaft",17,"-6 %"
"vitamoment",17,"10 %"
"magnesium mangel",16,"2 %"
"wann magnesium einnehmen",16,"-10 %"
"magnesiumcitrat",16,"-5 %"
"rossmann magnesium",16,"8 %"
"d3 k2 magnesium",16,"-10 %"
"magnesium 400 mg",15,"9 %"
"magnesium rossmann",15,"4 %"
