"query","search interest","increase percent"
"omega 3 kapseln",100,"30 %"
"norsan",63,"10 %"
"omega 3 norsan",62,"10 %"
"norsan omega 3",62,"10 %"
"omega 3 fettsäuren",43,"6 %"
"omega 3 vegan",42,"20 %"
"dha omega 3",41,"2 %"
"omega 3 dha",41,"2 %"
"epa omega 3",41,"3 %"
"epa",41,"5 %"
"omega 3 öl",40,"3 %"
"algenöl",35,"30 %"
"algenöl omega 3",34,"20 %"
"omega 3 kinder",34,"3 %"
"omega 3 algenöl",34,"20 %"
"magnesium",30,"9 %"
"vitamin d",25,"6 %"
"sunday omega 3",22,"20 %"
"omega 3 dm",20,"10 %"
"dm omega 3",20,"7 %"
"omega 3 test",20,"-4 %"
"für was omega 3",18,"10 %"
"omega 3 norsan vegan",18,"20 %"
"omega 3 vegan norsan",18,"10 %"
"omega 3 sunday natural",17,"10 %"
"norsan omega 3 vegan",17,"10 %"
"omega 3 doppelherz",17,"20 %"
"omega 3 supplement",17,"0 %"
"sunday natural omega 3",17,"10 %"
"doppelherz omega 3",17,"8 %"
"doppelherz",17,"8 %"
"sunday natural",17,"10 %"
"omega 3 fischöl",17,"20 %"
"fischöl omega 3",16,"10 %"
"omega 3 supplements",15,"-4 %"
"omega 3 lebensmittel",14,"10 %"
"vitamoment omega 3",14,"20 %"
"esn",14,"0 %"
"omega 3 vitamoment",14,"20 %"
"vitamoment",14,"20 %"
"esn omega 3",14,"-3 %"
"omega 3 wofür",13,"10 %"
"omega 3 wirkung",13,"10 %"
"wofür omega 3",13,"8 %"
"omega 3 fish oil",13,"40 %"
"omega 3 esn",13,"-10 %"
"omega 3 kids",13,"3 %"
"vitamin d3",12,"5 %"
"leinöl",12,"-4 %"
"omega 3 leinöl",12,"-10 %"
