"query","search interest","increase percent"
"protein",100,"3 %"
"proteinpulver esn",64,"20 %"
"esn",63,"10 %"
"esn proteinpulver",62,"10 %"
"proteinpulver dm",39,"0 %"
"whey",39,"-2 %"
"dm proteinpulver",39,"3 %"
"dm",39,"2 %"
"whey proteinpulver",38,"-5 %"
"proteinpulver whey",37,"-5 %"
"more proteinpulver",36,"9 %"
"veganes proteinpulver",36,"2 %"
"proteinpulver more",35,"10 %"
"more",35,"9 %"
"proteinpulver test",28,"-10 %"
"test proteinpulver",27,"-10 %"
"proteinpulver vegan",27,"-5 %"
"vegan proteinpulver",27,"-5 %"
"proteinpulver vanille",23,"20 %"
"vanille proteinpulver",23,"20 %"
"whey protein",23,"-6 %"
"welches proteinpulver",20,"-9 %"
"protein pulver",17,"-4 %"
"rossmann",17,"8 %"
"rossmann proteinpulver",16,"10 %"
"proteinpulver rossmann",16,"3 %"
"koro proteinpulver",16,"1 %"
"vetain",16,"10 %"
"vetain proteinpulver",16,"10 %"
"koro",16,"7 %"
"esn protein",15,"7 %"
"beste proteinpulver",15,"-6 %"
"more protein",13,"40 %"
"bestes proteinpulver",12,"-10 %"
"schoko proteinpulver",11,"50 %"
"proteinpulver schoko",11,"40 %"
"proteinpulver kaufen",10,"1 %"
"proteinpulver aldi",10,"20 %"
"proteinpulver lidl",10,"5 %"
"lidl proteinpulver",10,"10 %"
"more nutrition",9,"20 %"
"aldi proteinpulver",9,"-2 %"
"bio proteinpulver",8,"-3 %"
"proteinpulver ohne zucker",8,"-10 %"
"proteinpulver zum abnehmen",8,"7 %"
"proteinpulver bio",8,"2 %"
"protein shake",8,"50 %"
"proteinpulver ohne süßungsmittel",7,"-3 %"
"amazon proteinpulver",7,"5 %"
"bulk",7,"40 %"
