"query","search interest","increase percent"
"vitamin d mangel",100,"30 %"
"magnesium",45,"10 %"
"vitamin d einnehmen",43,"5 %"
"vitamin d k2",43,"3 %"
"vitamin d3",43,"9 %"
"k2 vitamin",42,"2 %"
"vitamin k2",42,"1 %"
"vitamin symptome",42,"10 %"
"vitamin d tabletten",32,"20 %"
"vitamin d tropfen",31,"10 %"
"vitamin d wert",30,"5 %"
"vitamin b12",30,"20 %"
"symptome vitamin d mangel",29,"8 %"
"vitamin d mangel symptome",28,"6 %"
"was ist vitamin d",26,"10 %"
"vitamin d calcium",26,"30 %"
"vitamin d test",25,"-8 %"
"omega 3",22,"10 %"
"vitamin d baby",21,"20 %"
"vitamin d apotheke",20,"-5 %"
"vitamin d 20000",20,"10 %"
"vitamin d kinder",18,"-1 %"
"zu viel vitamin d",17,"20 %"
"vitamin d 1000",17,"10 %"
"vitamin d 2000",16,"0 %"
"einnahme vitamin d",15,"0 %"
"vitamin d einnahme",15,"3 %"
"dm vitamin d",15,"9 %"
"vitamin d und magnesium",15,"7 %"
"vitamin d dm",15,"9 %"
"vitamin d sonne",13,"-2 %"
"sonne vitamin d",13,"-3 %"
"vitamin d3 k2",13,"0 %"
"überdosierung vitamin d",13,"0 %"
"vitamin d überdosierung",13,"-3 %"
"vitamin d 4000",12,"30 %"
"vitamin d dekristol",12,"9 %"
"vitamin d spiegel",12,"8 %"
"vitamin d mit k2",12,"6 %"
"dekristol vitamin d",12,"10 %"
"dekristol",12,"8 %"
"vitamin d und k2",11,"2 %"
"vitamin d lebensmittel",11,"10 %"
"lebensmittel vitamin d",11,"8 %"
"vitamin d kaufen",11,"-1 %"
"sunday vitamin d",10,"10 %"
"vitamin d kapseln",9,"10 %"
"vitamin d rechner",9,"10 %"
"vitamin d öl",8,"20 %"
"wann vitamin d einnehmen",8,"5 %"
